Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0,0.0

0.9,0.7,0.3,0.0,1.8

24.6,47.2,-3.0,4.3,73.0

22.4,20.3,26.5,24.4,93.6

26.7,23.5,23.8,27.7,101.7

37.9,21.6,12.7,19.7,91.9

38.4,28.2,14.3,18.1,98.9

38.4,30.0,14.6,17.6,100.6

38.2,29.1,14.7,18.0,100.0

38.1,29.5,14.6,17.7,99.9

38.0,29.7,14.5,17.4,99.7

38.0,29.8,14.6,17.4,99.9

38.1,29.9,14.5,17.4,100.0

38.1,29.8,14.5,17.4,99.8

38.0,29.8,14.5,17.3,99.7

35.3,26.4,20.0,21.6,103.4

28.9,32.7,26.8,17.7,106.1

31.8,23.9,3.0,0.2,59.0

0.2,0.2,0.5,0.1,0.9

0.1,0.1,0.3,0.1,0.6

0.1,0.1,0.3,0.1,0.5

0.1,0.1,0.3,0.1,0.5
